userId,num_assets_rated,avg_rating,min_rating,max_rating,highest_rated_assetId,highest_rated_assetName,lowest_rated_assetId,lowest_rated_assetName,signup_date,last_activity_date,User_Type
3000,156,2.9993589743589744,1.0,5.0,220,Cloud-based customer relationship management,150,Azure SQL Database for Data Management,2022-03-12,2023-08-04,Red
3001,247,3.080971659919028,1.1,5.0,171,Cloud Automation: Streamlining Your IT Operations,118,Azure Batch for High-performance Computing,2022-11-10,2023-03-28,Red
3002,157,3.199363057324841,1.0,5.0,197,Cloud Computing in Agriculture: Farming in the Cloud,133,Azure IoT Hub for Internet of Things Applications,2022-05-30,2022-07-16,Red
3003,162,2.9623456790123455,1.0,5.0,206,Cloud Migration Strategies for Your Enterprise,61,Hands-On Kubernetes on Azure,2022-03-06,2022-12-02,Red
3004,172,2.969186046511628,1.0,5.0,186,Cloud Computing for Education: Enabling Digital Learning,280,Introduction to Microsoft Azure,2021-09-10,2022-03-24,Red
3005,174,2.7752873563218388,1.0,5.0,294,Serverless Computing: What is it and How Does it Work?,276,Introduction to Google Cloud AI Platform,2022-08-01,2022-10-08,Red
3006,217,2.976036866359447,1.0,5.0,115,Azure API Management,86,Azure Machine Learning Studio Cookbook,2021-09-30,2021-11-13,Red
3007,215,3.0790697674418603,1.0,5.0,155,Big Data Processing with Google Cloud Platform,213,Cloud Security Best Practices for Your Business,2023-07-25,2023-11-17,Red
3008,212,2.905188679245283,1.0,5.0,75,Deploying and Managing Applications on Azure,55,Securing Cloud Native Applications,2023-11-07,2023-11-08,Red
3009,253,3.034782608695652,1.0,5.0,68,Mastering Azure Analytics,89,AWS Certified Solutions Architect Professional Exam Prep,2021-07-13,2023-06-07,Red
3010,178,2.9089887640449437,1.0,5.0,227,Cloud-based machine learning for predictive analytics,173,Cloud Compliance: Navigating Regulatory Requirements in the Cloud,2023-03-01,2023-04-15,Red
3011,260,2.9834615384615386,1.0,5.0,115,Azure API Management,75,Deploying and Managing Applications on Azure,2022-02-11,2022-04-06,Red
3012,260,3.1149999999999998,1.0,5.0,162,Building data pipelines with AWS Glue and Amazon Athena,38,Building Microservices with ASP.NET Core and Kubernetes,2022-04-09,2022-06-04,Red
3013,255,3.062745098039216,1.0,5.0,234,Creating Virtual Machines in Azure,113,Azure Active Directory,2023-09-13,2023-11-25,Red
3014,133,2.97218045112782,1.1,4.9,170,Cloud Automation: Streamlining Your Business Processes,239,Deploying microservices with AWS Fargate,2020-04-13,2021-03-12,Red
3015,256,2.916015625,1.0,5.0,158,Building a resilient cloud architecture,154,Best practices for securing your cloud environment,2020-05-07,2021-11-18,Red
3016,161,2.906832298136646,1.0,5.0,65,Azure Data Factory Cookbook,105,An Overview of Google Cloud Platform's Security,2020-01-30,2022-04-06,Red
3017,278,3.1093525179856116,1.0,5.0,204,Cloud Governance: Managing Risks and Compliance in the Cloud,31,Migrating to the Cloud: A Guide for Business Leaders,2023-04-30,2023-11-26,Red
3018,254,2.924803149606299,1.0,5.0,126,Azure DevOps for CI/CD Pipeline,102,An overview of AWS SageMaker: Machine learning made easy,2023-02-10,2023-10-03,Red
3019,166,2.880722891566265,1.0,5.0,94,Microsoft Azure Cosmos DB Revealed,162,Building data pipelines with AWS Glue and Amazon Athena,2023-06-24,2023-08-14,Red
3020,213,2.8985915492957743,1.0,5.0,221,Cloud-based data analytics for business intelligence,279,Introduction to Google Cloud Storage,2023-11-29,2023-12-03,Red
3021,207,2.9917874396135264,1.0,5.0,73,Google Cloud Platform Cookbook,221,Cloud-based data analytics for business intelligence,2023-03-12,2023-03-29,Red
3022,209,2.942105263157895,1.0,5.0,239,Deploying microservices with AWS Fargate,246,Getting started with AWS: A beginner's guide,2021-11-04,2022-06-29,Red
3023,164,3.0030487804878048,1.0,5.0,118,Azure Batch for High-performance Computing,59,DevOps with Azure,2023-02-13,2023-05-08,Red
3024,288,3.01875,1.0,5.0,100,Azure for Architects,39,Cloud-Native Python,2020-06-21,2022-01-29,Red
3025,209,2.9205741626794257,1.0,5.0,17,Cloud Native Java,179,Cloud Computing and Healthcare: Opportunities and Challenges,2022-07-23,2023-07-17,Red
3026,260,3.0415384615384613,1.0,5.0,253,Google Cloud Platform for Gaming,131,Azure Front Door for Web Applications,2020-07-28,2022-12-15,Red
3027,234,2.769230769230769,1.0,5.0,11,Cloud Foundry: The Definitive Guide,120,Azure Container Instances for Container Deployment,2023-10-11,2023-11-03,Red
3028,243,2.9465020576131686,1.0,5.0,49,Cloud-Native Python,77,GCP for Business Leaders,2022-01-31,2022-10-24,Red
3029,158,2.84746835443038,1.0,5.0,223,Cloud-based disaster recovery strategies for small businesses,214,Cloud security risks and how to mitigate them,2021-08-28,2022-01-30,Red
3030,178,2.9955056179775283,1.0,5.0,203,Cloud Governance: Best Practices for Managing Your Cloud Environment,94,Microsoft Azure Cosmos DB Revealed,2021-01-21,2023-05-17,Red
3031,140,3.1085714285714285,1.0,4.9,148,Azure Virtual Desktop,252,Google Cloud Platform for E-commerce,2023-02-04,2023-02-23,Red
3032,192,2.9536458333333333,1.0,5.0,258,How to Deploy Applications on Google Cloud Platform,87,Deploying Applications with Docker and AWS,2021-10-27,2023-05-04,Red
3033,265,3.054339622641509,1.0,5.0,9,The Essential Guide to Cloud Computing,99,GCP for Data Engineers,2022-04-09,2023-08-13,Red
3034,283,2.9840989399293285,1.0,5.0,55,Securing Cloud Native Applications,153,Best Practices for Data Management on Google Cloud Platform,2020-01-28,2023-02-15,Red
3035,298,2.964765100671141,1.0,5.0,24,Cloud-Native Infrastructure,128,Azure Event Grid for Event-driven Architecture,2022-06-20,2022-11-12,Red
3036,216,2.9375,1.0,5.0,143,Azure Stack,99,GCP for Data Engineers,2022-06-12,2023-01-10,Red
3037,213,2.983098591549296,1.0,5.0,256,Harnessing the power of cloud-native databases,148,Azure Virtual Desktop,2022-06-19,2023-05-14,Red
3038,212,2.858018867924528,1.0,5.0,91,Cloud Computing and Virtualization,183,Cloud Computing and the Internet of Things (IoT),2023-10-09,2023-11-01,Red
3039,235,2.923829787234043,1.0,5.0,251,Google Cloud Platform for DevOps,89,AWS Certified Solutions Architect Professional Exam Prep,2022-09-22,2023-03-13,Red
3040,231,3.0913419913419915,1.1,5.0,171,Cloud Automation: Streamlining Your IT Operations,129,Azure ExpressRoute for Dedicated Network Connection,2021-06-08,2021-12-10,Red
3041,203,2.9655172413793105,1.0,5.0,265,Implementing Disaster Recovery on Azure,172,Cloud Backup and Disaster Recovery: Planning for the Unexpected,2021-09-30,2022-10-13,Red
3042,179,3.1206703910614526,1.1,5.0,21,Cloud-Native Machine Learning,13,Cloud Application Development: A Practical Guide,2022-10-15,2022-11-04,Red
3043,224,3.0379464285714284,1.0,5.0,48,Building Microservices with ASP.NET Core and Kubernetes,202,Cloud Cost Optimization: Best Practices for Saving Money,2020-03-28,2023-03-31,Red
3044,232,2.851293103448276,1.0,5.0,223,Cloud-based disaster recovery strategies for small businesses,285,Monitoring and Diagnostics in Azure App Service,2022-08-31,2022-10-07,Red
